fips_code,county_name,heart_disease_deathrate_per_100000
5087,"""Madison, (AR)""",525.1
5089,"""Marion, (AR)""",513.8
5091,"""Miller, (AR)""",631.0
5093,"""Mississippi, (AR)""",661.1
5095,"""Monroe, (AR)""",661.5
5097,"""Montgomery, (AR)""",587.9
5099,"""Nevada, (AR)""",644.9
5101,"""Newton, (AR)""",524.1
5103,"""Ouachita, (AR)""",594.0
5105,"""Perry, (AR)""",467.2
5107,"""Phillips, (AR)""",701.4
5109,"""Pike, (AR)""",726.9
5111,"""Poinsett, (AR)""",653.3
5113,"""Polk, (AR)""",581.8
5115,"""Pope, (AR)""",516.1
5117,"""Prairie, (AR)""",579.6
5119,"""Pulaski, (AR)""",499.8
5121,"""Randolph, (AR)""",590.8
5123,"""St. Francis, (AR)""",663.6
5125,"""Saline, (AR)""",427.1
5127,"""Scott, (AR)""",596.9
5129,"""Searcy, (AR)""",511.0
5131,"""Sebastian, (AR)""",547.8
5133,"""Sevier, (AR)""",573.1
5135,"""Sharp, (AR)""",570.2
5137,"""Stone, (AR)""",513.6
5139,"""Union, (AR)""",570.3
5141,"""Van Buren, (AR)""",491.8
5143,"""Washington, (AR)""",469.7
5145,"""White, (AR)""",599.7
5147,"""Woodruff, (AR)""",652.7
5149,"""Yell, (AR)""",595.7
6001,"""Alameda, (CA)""",364.5
6003,"""Alpine, (CA)""",361.9
6005,"""Amador, (CA)""",422.3
6007,"""Butte, (CA)""",430.2
6009,"""Calaveras, (CA)""",411.5
6011,"""Colusa, (CA)""",409.6
6013,"""Contra Costa, (CA)""",359.9
6015,"""Del Norte, (CA)""",479.9
6017,"""El Dorado, (CA)""",363.1
6019,"""Fresno, (CA)""",482.0
6021,"""Glenn, (CA)""",426.6
6023,"""Humboldt, (CA)""",448.5
6025,"""Imperial, (CA)""",428.5
6027,"""Inyo, (CA)""",482.0
6029,"""Kern, (CA)""",539.3
6031,"""Kings, (CA)""",455.3
6033,"""Lake, (CA)""",465.7
6035,"""Lassen, (CA)""",494.6
6037,"""Los Angeles, (CA)""",432.0
6039,"""Madera, (CA)""",501.1
6041,"""Marin, (CA)""",274.8
6043,"""Mariposa, (CA)""",438.8
6045,"""Mendocino, (CA)""",422.6
6047,"""Merced, (CA)""",447.5
6049,"""Modoc, (CA)""",503.2
6051,"""Mono, (CA)""",382.2
6053,"""Monterey, (CA)""",349.3
6055,"""Napa, (CA)""",391.9
6057,"""Nevada, (CA)""",335.6
6059,"""Orange, (CA)""",380.5
6061,"""Placer, (CA)""",383.6
6063,"""Plumas, (CA)""",464.5
6065,"""Riverside, (CA)""",458.0
6067,"""Sacramento, (CA)""",440.4
6069,"""San Benito, (CA)""",365.0
6071,"""San Bernardino, (CA)""",519.2
6073,"""San Diego, (CA)""",376.7
6075,"""San Francisco, (CA)""",333.9
6077,"""San Joaquin, (CA)""",470.8
6079,"""San Luis Obispo, (CA)""",419.6
6081,"""San Mateo, (CA)""",331.2
6083,"""Santa Barbara, (CA)""",388.5
6085,"""Santa Clara, (CA)""",311.5
6087,"""Santa Cruz, (CA)""",368.0
6089,"""Shasta, (CA)""",494.9
6091,"""Sierra, (CA)""",539.7
6093,"""Siskiyou, (CA)""",440.1
6095,"""Solano, (CA)""",376.7
6097,"""Sonoma, (CA)""",388.2
6099,"""Stanislaus, (CA)""",538.9
6101,"""Sutter, (CA)""",472.9
6103,"""Tehama, (CA)""",428.5
6105,"""Trinity, (CA)""",439.2
6107,"""Tulare, (CA)""",550.4
6109,"""Tuolumne, (CA)""",415.5
6111,"""Ventura, (CA)""",374.4
6113,"""Yolo, (CA)""",366.5
6115,"""Yuba, (CA)""",553.3
8001,"""Adams, (CO)""",375.3
8003,"""Alamosa, (CO)""",439.3
8005,"""Arapahoe, (CO)""",305.7
8007,"""Archuleta, (CO)""",303.4
8009,"""Baca, (CO)""",407.1
8011,"""Bent, (CO)""",424.6
8013,"""Boulder, (CO)""",310.1
8014,"""Broomfield, (CO)""",325.6
8015,"""Chaffee, (CO)""",348.0
8017,"""Cheyenne, (CO)""",398.3
8019,"""Clear Creek, (CO)""",311.6
8021,"""Conejos, (CO)""",504.6
8023,"""Costilla, (CO)""",384.7
8025,"""Crowley, (CO)""",344.0
8027,"""Custer, (CO)""",384.8
8029,"""Delta, (CO)""",396.7
8031,"""Denver, (CO)""",379.4
8033,"""Dolores, (CO)""",346.8
8035,"""Douglas, (CO)""",272.7
8037,"""Eagle, (CO)""",185.8
8039,"""Elbert, (CO)""",302.8
8041,"""El Paso, (CO)""",353.9
8043,"""Fremont, (CO)""",445.1
8045,"""Garfield, (CO)""",287.0
8047,"""Gilpin, (CO)""",320.2
8049,"""Grand, (CO)""",278.2
8051,"""Gunnison, (CO)""",344.2
8053,"""Hinsdale, (CO)""",303.0
8055,"""Huerfano, (CO)""",397.9
8057,"""Jackson, (CO)""",332.0
8059,"""Jefferson, (CO)""",320.1
