fips_code,total_population,male,female,median_age,white_pop,african_american_pop,american_indian_pop,asian_pop,hawaiian_islander_pop,other_pop,hispanic_pop
2282,644,370,274,39.1,248,8,283,4,5,5,644
2290,5637,3053,2584,35.6,1235,6,3889,22,22,18,5637
4001,71618,35672,35946,32.1,17177,207,52153,251,71,682,71618
4003,131118,66837,64281,39.9,105267,5164,1454,2286,362,9691,131118
4005,134011,66429,67582,30.9,83919,1774,36501,1955,138,5737,134011
4007,53436,26751,26685,47.8,42288,238,7831,140,26,1687,53436
4009,37115,19936,17179,31.8,27973,776,5044,176,112,2105,37115
4011,8592,4505,4087,33.7,7410,84,177,51,0,631,8592
4012,20460,10332,10128,54.1,14643,181,2621,135,14,2644,20460
4013,3841819,1901825,1939994,34.6,3114615,192883,71329,133497,7964,218094,3841819
4015,201216,101109,100107,47.4,179349,2019,3062,2066,297,6177,201216
4017,107415,53736,53679,34.8,52280,916,45544,530,104,4313,107415
4019,981048,482244,498804,37.7,778258,35850,31265,26302,1273,79703,981048
4021,368374,193667,174707,35.8,284721,16664,19809,6126,1681,28697,368374
4023,47057,22375,24682,35.5,34441,262,134,272,34,10871,47057
4025,211280,103607,107673,49.3,193691,1182,4176,1612,82,5257,211280
4027,196420,98901,97519,33.6,149922,4084,2705,2199,348,32562,196420
5001,19029,9166,9863,41.5,13791,4656,27,123,11,211,19029
5003,21811,10561,11250,39.5,15143,5613,49,28,0,667,21811
5005,41387,19893,21494,50.8,40189,123,231,204,7,120,41387
5007,222028,109694,112334,34.5,191672,2557,3325,6353,591,11348,222028
5009,37032,18140,18892,41.4,35767,114,240,193,0,81,37032
5011,11510,5576,5934,40.2,7005,3193,118,0,0,1106,11510
5013,5373,2788,2585,42.4,3972,1307,0,0,0,2,5373
5015,27321,13400,13921,44.2,25062,46,227,102,0,1238,27321
5017,11759,5752,6007,42.5,4875,6404,6,24,0,358,11759
5019,23050,10989,12061,33.6,16982,5494,85,135,0,71,23050
5021,15981,7827,8154,42.9,15623,38,52,7,0,66,15981
5023,25849,12727,13122,46.4,25198,102,82,19,13,15,25849
5025,8685,4295,4390,40.2,7469,1043,0,0,0,40,8685
5027,24644,11782,12862,36.1,14864,9072,48,206,4,37,24644
5029,21203,10450,10753,40.4,18103,2490,153,36,0,105,21203
5031,96709,47118,49591,33.1,80792,12750,318,1215,27,272,96709
5033,61670,30457,31213,38.0,56227,859,811,928,0,817,61670
5035,50618,24105,26513,33.8,23299,25831,35,87,62,576,50618
5037,17891,8557,9334,39.4,13350,4123,47,110,0,17,17891
5039,8122,4125,3997,42.9,4504,3495,6,41,0,76,8122
5041,12922,6093,6829,39.1,6203,6201,37,0,0,361,12922
5043,18615,8948,9667,37.5,12943,5271,12,112,0,84,18615
5045,113730,55936,57794,31.4,97018,11872,499,1541,35,706,113730
5047,18110,8855,9255,40.8,17262,156,126,55,0,29,18110
5049,12301,6030,6271,46.9,11946,36,41,105,0,0,12301
5051,96249,46616,49633,44.2,82114,8043,599,844,14,3074,96249
5053,17852,8824,9028,39.4,17058,364,43,91,0,108,17852
5055,42224,20849,21375,37.8,40966,279,170,32,0,195,42224
5057,22548,10945,11603,38.6,14623,6811,40,5,0,651,22548
5059,33011,16831,16180,39.6,28582,3602,120,24,0,76,33011
5061,13790,6592,7198,37.1,9609,2943,152,42,0,989,13790
5063,36572,18018,18554,38.0,34681,996,237,34,18,176,36572
5065,13614,7040,6574,47.3,13053,163,24,27,49,17,13614
5067,17885,8861,9024,40.9,14355,2945,77,40,6,113,17885
5069,76836,37775,39061,37.2,32332,42307,101,638,75,472,76836
5071,25554,12421,13133,37.6,24127,413,174,74,79,175,25554
5073,7618,3692,3926,42.9,4683,2846,11,0,6,0,7618
5075,17314,8484,8830,39.8,16894,114,32,0,0,9,17314
5077,10430,5781,4649,39.8,4408,5888,34,0,0,94,10430
5079,14167,8628,5539,37.7,9410,4182,27,0,0,290,14167
5081,13068,6352,6716,41.1,9722,2863,70,0,0,106,13068
5083,22352,11150,11202,41.7,20969,308,234,407,0,111,22352
5085,68274,33593,34681,35.5,61297,4248,478,451,0,672,68274
5087,15674,7834,7840,40.4,14975,27,80,81,0,158,15674
5089,16712,8274,8438,50.2,16183,39,72,51,0,79,16712
5091,43449,21398,22051,37.5,31577,10581,158,264,0,163,43449
5093,46388,22376,24012,34.6,29435,15855,78,170,9,156,46388
5095,8145,3871,4274,43.5,4612,3422,30,2,0,52,8145
5097,9453,4626,4827,46.4,8996,47,129,1,0,107,9453
5099,9003,4456,4547,39.6,6034,2857,33,0,0,0,9003
5101,8286,4211,4075,46.6,7862,38,64,0,0,29,8286
5103,25894,12219,13675,42.6,14835,10423,61,24,0,37,25894
5105,10413,5181,5232,42.1,9893,237,58,0,0,49,10413
5107,21646,10140,11506,37.3,7776,13587,16,18,0,40,21646
5109,11261,5645,5616,39.8,10126,397,96,14,0,517,11261
5111,24506,11885,12621,39.6,22270,1782,49,15,0,68,24506
5113,20535,10048,10487,43.4,19127,19,364,23,7,468,20535
5115,61853,30790,31063,35.3,55942,2098,505,435,0,1559,61853
5117,8659,4263,4396,44.6,7455,1119,0,11,0,16,8659
5119,383185,183991,199194,36.0,227501,134065,1116,7877,90,5597,383185
5121,17992,8748,9244,41.3,17475,54,30,76,1,45,17992
5123,28089,15265,12824,36.9,12627,14580,62,55,12,351,28089
5125,107498,53147,54351,38.7,98384,5011,602,982,24,1048,107498
5127,11170,5733,5437,41.4,10037,22,158,449,0,208,11170
5129,8146,4025,4121,47.1,7858,26,69,19,0,0,8146
5131,125795,61720,64075,36.6,104479,7356,1144,5161,117,1670,125795
5133,16978,8335,8643,33.9,11668,749,320,77,0,3851,16978
5135,17278,8456,8822,46.4,16633,50,115,46,35,23,17278
5137,12480,6185,6295,46.9,12119,9,17,109,0,29,12480
5139,41594,20145,21449,39.8,26841,13703,128,225,0,108,41594
5141,17223,8528,8695,46.5,16554,173,163,11,0,117,17223
5143,204057,101885,102172,31.1,163956,6970,2239,4637,4205,17155,204057
5145,77007,37646,39361,36.1,70618,3246,186,263,12,1006,77007
5147,7262,3487,3775,43.3,5034,2086,13,0,7,15,7262
5149,22033,11023,11010,38.4,18553,273,37,315,0,2527,22033
6001,1515136,742993,772143,36.6,695847,185614,8456,400465,12674,127772,1515136
6003,1197,669,528,43.2,852,0,236,32,22,40,1197
6005,37764,20542,17222,48.4,33302,985,778,486,49,1239,37764
6007,220101,108961,111140,37.3,184653,3206,2276,9241,411,7128,220101
6009,45507,22871,22636,49.5,41343,476,438,638,20,1081,45507
6011,21329,11019,10310,33.9,15448,177,259,223,45,3979,21329
6013,1052047,513441,538606,38.5,670524,96210,4656,152283,4860,70257,1052047
6015,28496,15677,12819,38.8,21248,1085,1545,866,139,1867,28496
6017,180441,90422,90019,43.5,157401,1354,1790,6183,104,7018,180441
6019,930517,464903,465614,30.7,546915,47376,9490,88770,1278,199019,930517
6021,28078,14207,13871,36.5,22848,236,742,680,4,2639,28078
6023,134317,67287,67030,37.5,111415,1647,7739,3205,467,3210,134317
6025,173487,89318,84169,31.8,120511,5643,2724,2680,151,36040,173487
6027,18474,9396,9078,45.7,14805,165,1943,269,99,880,18474
6029,839153,432484,406669,30.7,599768,46649,9776,34451,1052,116770,839153
6031,151982,85499,66483,31.2,110937,10470,1901,5737,278,16561,151982
6033,64360,32529,31831,44.8,53781,1495,1996,719,118,3992,64360
6035,34628,22681,11947,37.4,24395,2931,1191,451,224,4111,34628
6037,9840024,4852259,4987765,34.8,5229697,839837,49624,1360561,25973,1983608,9840024
6039,150615,72557,78058,33.2,121838,5248,2650,3012,520,11990,150615
6041,252759,124430,128329,44.6,201272,7284,667,14407,515,19668,252759
6043,18193,9130,9063,49.4,16132,141,669,272,39,342,18193
6045,87577,43930,43647,41.7,72842,804,4200,1583,169,4779,87577
6047,256398,129131,127267,29.7,173461,9794,2622,19278,579,42488,256398
6049,9545,4829,4716,46.8,8417,129,288,36,0,332,9545
6051,14181,7516,6665,37.1,11856,82,476,111,28,1134,14181
6053,416199,214090,202109,32.9,309794,12568,3864,26195,1977,46587,416199
6055,136644,68206,68438,39.6,109393,2758,979,9450,485,9333,136644
6057,98521,48924,49597,48.0,91584,393,934,1386,192,1391,98521
6059,3021840,1495127,1526713,36.2,1886224,48985,12708,547024,9575,421154,3021840
6061,350074,170983,179091,40.2,295714,4270,2579,21683,824,11597,350074
6063,19926,10031,9895,49.4,18139,253,428,234,172,213,19926
6065,2192982,1091924,1101058,33.7,1455085,138216,22688,130982,6965,353226,2192982
6067,1422348,696786,725562,34.9,853146,143842,12829,205867,14435,105623,1422348
6069,55467,27693,27774,34.1,46065,826,569,1299,0,4820,55467
6071,2041029,1015499,1025530,31.7,1272922,178176,21023,130176,6484,342488,2041029
6073,3100500,1556457,1544043,34.7,2217577,156645,21872,342886,14541,206280,3100500
6075,807755,409803,397952,38.5,409445,48419,3690,270503,3485,38968,807755
6077,687036,342120,344916,32.6,410319,50463,6760,98513,3557,74101,687036
6079,270121,138319,131802,39.3,227208,5809,2724,9147,315,16050,270121
6081,721183,354728,366455,39.3,425330,20231,2733,180081,10614,49893,721183
6083,423594,212662,210932,33.6,324705,8396,4674,20775,897,48057,423594
6085,1788393,898013,890380,36.2,901689,46543,9860,577249,6432,169797,1788393
6087,262340,130813,131527,36.9,215815,2707,1325,10910,407,20638,262340
6089,177693,87442,90251,41.9,155637,1633,4116,4720,319,3619,177693
6091,3163,1552,1611,51.6,2949,36,10,4,18,133,3163
6093,44673,22262,22411,47.0,38804,555,1235,601,168,500,44673
6095,414209,206891,207318,37.0,218264,58858,2186,61211,3642,40287,414209
6097,483456,237760,245696,39.8,391986,7739,5785,19747,1497,39827,483456
6099,515115,254802,260313,32.8,398065,14493,5044,26609,3748,44810,515115
6101,94615,47074,47541,34.5,63070,1667,1362,13240,280,9315,94615
6103,63200,31428,31772,39.6,54624,376,1518,704,57,3272,63200
6105,13693,7015,6678,49.2,12130,119,185,168,37,131,13693
6107,441877,221571,220306,29.7,351770,7163,5545,14715,437,46744,441877
6109,55205,28964,26241,48.0,48178,1131,913,609,64,2157,55205
6111,822794,408800,413994,36.4,600242,14795,8733,57239,1360,107010,822794
6113,200873,98020,102853,30.5,134265,5054,2417,25873,1171,20694,200873
6115,72244,36580,35664,31.9,50907,2003,1085,5104,263,7561,72244
8001,442996,222869,220127,32.4,351099,14084,4751,15792,546,40122,442996
8003,15750,7949,7801,32.2,12652,115,182,152,14,1409,15750
8005,574357,281842,292515,35.7,432797,57554,4743,28224,1174,26112,574357
8007,12109,6290,5819,47.5,10827,58,85,117,9,464,12109
8009,3783,1874,1909,47.8,3580,16,33,30,2,44,3783
8011,6192,3997,2195,40.6,4985,525,169,85,0,287,6192
8013,297218,149296,147922,35.6,260736,2667,1170,11927,122,12448,297218
8014,55913,27831,28082,36.5,48998,446,144,2881,14,1032,55913
8015,17879,9517,8362,47.3,16799,500,140,60,0,260,17879
8017,2095,1005,1090,41.0,2056,5,5,11,0,4,2095
8019,9059,4804,4255,45.8,8566,33,58,45,0,154,9059
8021,8241,4093,4148,38.2,6857,6,71,13,0,463,8241
8023,3556,1837,1719,47.4,2922,12,23,23,0,162,3556
8025,5747,4027,1720,39.4,4777,441,94,45,14,261,5747
8027,4208,2270,1938,52.7,4107,38,10,14,0,17,4208
8029,30710,15475,15235,46.1,28977,306,194,174,0,647,30710
8031,604356,302462,301894,33.7,444522,61274,7162,20729,732,50672,604356
8033,1806,950,856,46.5,1745,0,19,4,2,0,1806
8035,286883,142045,144838,36.7,261685,3202,790,11183,92,2728,286883
8037,51850,27710,24140,34.2,46717,156,228,559,0,3268,51850
8039,23058,11525,11533,43.0,21930,73,163,163,3,159,23058
8041,622816,310786,312030,34.1,508314,37927,4847,16102,1808,21592,622816
8043,47006,27576,19430,43.0,39965,2791,904,495,59,1938,47006
8045,56330,29111,27219,34.7,50756,630,287,323,107,3246,56330
8047,5358,2816,2542,44.5,4983,44,17,21,0,120,5358
8049,14608,7806,6802,41.1,13722,87,66,128,12,442,14608
8051,15385,8343,7042,34.3,14660,121,59,113,0,232,15385
8053,790,357,433,56.5,783,0,0,0,0,0,790
8055,6730,3388,3342,51.5,4700,137,426,50,0,486,6730
8057,1397,749,648,46.5,1351,4,10,6,0,15,1397
8059,536095,266072,270023,40.2,484284,5837,4040,13889,251,14133,536095
8061,1393,673,720,40.1,1366,2,2,11,0,0,1393
8063,8210,4691,3519,39.0,7668,259,65,25,7,105,8210
8065,7372,3759,3613,34.2,5804,75,176,55,10,1075,7372
8067,51443,26134,25309,37.7,44963,246,3240,364,39,1539,51443
8069,300870,149595,151275,35.4,274662,2504,1719,5507,340,7522,300870
8071,15385,7908,7477,44.2,13203,175,325,79,37,1037,15385
8073,5443,3197,2246,39.4,4657,499,119,9,19,64,5443
8075,22541,12339,10202,37.5,21164,327,64,143,6,394,22541
8077,146562,73060,73502,37.9,132245,956,1584,970,159,6686,146562
8079,702,327,375,60.3,680,9,5,1,0,6,702
8081,13547,7017,6530,36.4,12550,47,287,111,14,340,13547
8083,25424,12481,12943,42.8,21409,26,2841,151,0,301,25424
8085,40994,20134,20860,42.6,37310,260,308,227,49,1552,40994
8087,28200,14061,14139,36.0,25478,728,175,44,19,1187,28200
8089,18791,9327,9464,40.6,16837,76,597,82,0,825,18791
8091,4445,2259,2186,52.4,4342,0,13,26,0,0,4445
8093,16168,8412,7756,47.0,15566,5,91,137,24,13,16168
8095,4380,2186,2194,40.8,4180,16,18,19,0,81,4380
8097,17000,8993,8007,43.0,16226,94,130,203,2,172,17000
