fips_code,population_density
01001,91.83494943105734
01003,115.25213488121658
01005,31.042767574213784
01007,36.57188932542219
01009,89.12552576398626
01011,17.307182826085214
01013,26.68540953028273
01015,194.48790825724413
01017,57.37840950428394
01019,46.80693516344591
01021,62.9439968593672
01023,15.148330596606458
01025,20.806401472790917
01027,22.89551808808847
01029,26.611319407248704
01031,73.59066353251681
01033,91.88196800980056
01035,15.512447127350743
01037,17.367565591173193
01039,36.68570031131848
01041,22.94691544576572
01043,109.41550621154781
01045,89.3326205114497
01047,44.52050945391567
01049,91.30052644921521
01051,128.2650347219415
01053,40.33732594066111
01055,194.98832690643394
01057,27.43364241786955
01059,49.957322335485884
01061,46.60276319271319
01063,14.011528179134922
01065,24.458686560767024
01067,30.752113929684022
01069,174.98240845497943
01071,49.42998586097741
01073,592.5296685971801
01075,23.994537452508574
01077,138.57782796687718
01079,49.441273647054054
01081,231.98296068051937
01083,148.79021888215794
01085,15.789672179921805
01087,34.840733471837865
01089,417.494913253983
01091,21.403813357191556
01093,41.278903719829934
01095,164.48054403879527
01097,335.3548581258871
01099,22.417432422551006
01101,292.4792826749736
01103,205.97683213742607
01105,14.624880499788791
01107,22.289337060702874
01109,48.72830288620342
01111,39.34717078632332
01113,84.12827151636148
01115,132.18821905928453
01117,248.7317340399781
01119,15.122465529430118
01121,111.55915985205796
01123,57.966200571930194
01125,146.9667222745516
01127,84.70257535465475
01129,16.11450397932989
01131,13.175043725478279
01133,39.85780915822565
02013,0.44600765145175203
02016,1.2543630514345796
02020,170.98193623095906
02050,0.42356416824607657
02060,1.843828335414008
02068,0.1503363039588325
02070,0.26318371623593106
02090,13.289755034232467
02100,1.0782368670749591
02105,0.28611618868784566
02110,11.708663174596245
02122,3.450877621120212
02130,2.783830278769985
02150,2.093264315156745
02164,0.06557582486967597
02170,3.62968832201759
02180,0.4172153869208899
02185,0.10504489110389507
02188,0.21367579032211997
02195,1.1645402077159472
02198,1.4282899293451508
02220,3.103814566850814
02230,2.321339744652628
02240,0.28418808042760885
02261,0.28078369433537737
02275,0.9317394607793954
02282,0.08418898230292687
02290,0.038740992916734864
04001,6.395879945212873
04003,21.265746412810245
04005,7.197584602944806
04007,11.230927379599503
04009,8.029036491824835
04011,4.661645487069251
04012,4.547041544980709
04013,417.5825310541369
04015,15.116424778027095
04017,10.795019547914652
04019,106.78612775654737
04021,68.65461013580558
04023,38.04381219096527
04025,26.008497077429322
04027,35.622104638526864
05001,19.245122728238115
05003,23.570566348480412
05005,74.66763368171132
05007,262.0241527478973
05009,62.74153678813888
05011,17.728666684123215
05013,8.547824385401404
05015,43.36067876340886
05017,18.250701532195983
05019,26.614353969753164
05021,24.991203584246204
05023,46.684799491414
05025,14.528683485478844
05027,32.17009789139916
05029,38.39384336803984
05031,136.74799139147575
05033,103.9801447999811
05035,83.01298871687221
05037,29.025878474514954
05039,12.169868711660117
05041,16.822191441277248
05043,22.472222088087726
05045,175.54068320872256
05047,29.74425850404939
05049,19.898284357337666
05051,142.00604620076396
05053,28.2553746464517
05055,73.08996553568554
05057,30.992962392786453
05059,53.65879824838021
05061,23.4303054605015
05063,47.8720549562604
05065,23.449085995483802
05067,28.21253813464408
05069,88.24157676291362
05071,38.72968336051312
05073,14.420710699872034
05075,29.464920849401135
05077,17.307727410760663
05079,25.229868374421436
05081,24.55223361822291
05083,31.565048543689322
05085,88.58378052957723
05087,18.788020449382984
05089,27.992877829312455
05091,69.4541687847079
05093,51.509370690248666
05095,13.415754988289011
05097,12.121095553162025
05099,14.571804537442723
05101,10.093848672669862
05103,35.33651845089201
05105,18.88458873925013
05107,31.115640762840627
05109,18.74902184083727
05111,32.3132323912926
05113,23.942523951268484
05115,76.12227216115232
05117,13.36352047509252
05119,504.34806643650717
05121,27.587010553656825
05123,44.25060376104139
05125,148.55915666580066
05127,12.517930787161555
05129,12.229486784918066
05131,236.49633115314407
05133,30.04285769899102
05135,28.58518394742894
05137,20.58030524154649
05139,40.024480039722334
05141,24.321358821593943
05143,216.62883798353656
05145,74.39750742699805
05147,12.37578626802388
05149,23.691805450416354
06001,2050.204528447925
06003,1.621221889339755
06005,63.513420329878244
06007,134.4979174610624
06009,44.61418100963518
06011,18.53517459771224
06013,1469.4686823002583
06015,28.31554503151416
06017,105.65185085863611
06019,156.1796585459763
06021,21.36920286739115
06023,37.64503626274423
06025,41.537823920540205
06027,1.8145780929131952
06029,103.19253174774555
06031,109.38521109527716
06033,51.223115027569435
06035,7.625324144540278
06037,2424.9150542499488
06039,70.47736877003035
06041,485.7891317801447
06043,12.557150114300228
06045,24.976735019933876
06047,132.50734377551714
06049,2.436334955854989
06051,4.651060583499673
06053,126.86692505475379
06055,182.59077825971923
06057,102.86477366220771
06059,3822.365691502818
06061,248.8072215600611
06063,7.804803914387655
06065,304.30695707196855
06067,1474.479704429821
06069,39.9413844503172
06071,101.76174448961251
06073,737.0507983825532
06075,17232.841934589207
06077,493.80085990158994
06079,81.89040877447691
06081,1608.3187632691656
06083,154.8741629602005
06085,1386.2437020386017
06087,589.3029629130444
06089,47.065981318015936
06091,3.318247528886483
06093,7.115929292770004
06095,504.0479942562655
06097,306.7908156174862
06099,344.59840503282317
06101,157.06080576351656
06103,21.42584234580428
06105,4.306985223577606
06107,91.59562747514362
06109,24.857219017292213
06111,446.4105411817813
06113,197.9650907815104
06115,114.33925414543894
08001,379.3901099042267
08003,21.79499420875868
08005,719.6554316501691
08007,8.968467050567519
08009,1.4806453468870635
08011,4.092907411850791
08013,409.22828240548876
08014,1692.5894532905493
